iter	Passed	Remaining
1261	62501	36549
1262	62541	36494
1263	62591	36445
1264	62631	36390
1265	62678	36339
1266	62729	36291
1267	62839	36276
1268	62890	36227
1269	62937	36176
1270	62975	36120
1271	63018	36067
1272	63060	36013
1273	63102	35959
1274	63148	35908
1275	63198	35858
1276	63238	35804
1277	63291	35756
1278	63364	35719
1279	63436	35683
1280	63503	35643
1281	63545	35589
1282	63582	35532
1283	63626	35480
1284	63667	35426
1285	63713	35374
1286	63753	35319
1287	63801	35268
1288	63895	35244
1289	63990	35219
1290	64035	35167
1291	64084	35117
1292	64125	35063
1293	64162	35006
1294	64208	34955
1295	64256	34904
1296	64300	34852
1297	64347	34801
1298	64403	34755
1299	64468	34713
1300	64535	34673
1301	64606	34635
1302	64650	34582
1303	64691	34528
1304	64729	34472
1305	64795	34431
1306	64839	34379
1307	64881	34325
1308	64925	34272
1309	65039	34257
1310	65096	34211
1311	65141	34159
1312	65189	34108
1313	65234	34056
1314	65277	34003
1315	65322	33951
1316	65372	33902
1317	65411	33847
1318	65460	33797
1319	65520	33753
1320	65578	33707
1321	65644	33666
1322	65682	33610
1323	65722	33556
1324	65763	33502
1325	65803	33447
1326	65855	33398
1327	65895	33344
1328	65932	33288
1329	65979	33237
1330	66023	33185
1331	66136	33167
1332	66190	33120
1333	66227	33064
1334	66276	33013
1335	66319	32961
1336	66367	32910
1337	66410	32857
1338	66456	32806
1339	66502	32755
1340	66547	32702
1341	66600	32655
1342	66675	32617
1343	66750	32580
1344	66793	32527
1345	66837	32475
1346	66883	32423
1347	66929	32372
1348	66974	32320
1349	67023	32270
1350	67064	32216
1351	67110	32165
1352	67203	32136
1353	67279	32099
1354	67323	32047
1355	67366	31993
1356	67410	31941
1357	67453	31889
1358	67494	31835
1359	67536	31781
1360	67575	31727
1361	67613	31672
1362	67650	31616
1363	67696	31565
1364	67772	31528
1365	67829	31481
1366	67878	31431
1367	67921	31378
1368	67962	31325
1369	67999	31270
1370	68047	31219
1371	68096	31169
1372	68140	31117
1373	68187	31066
1374	68248	31021
1375	68359	31000
1376	68411	30951
1377	68445	30895
1378	68491	30843
1379	68538	30792
1380	68574	30736
1381	68617	30684
1382	68666	30634
1383	68706	30580
1384	68754	30530
1385	68812	30484
1386	68877	30441
1387	68955	30404
1388	69001	30352
1389	69037	30297
1390	69083	30245
1391	69125	30192
1392	69172	30142
1393	69216	30089
1394	69260	30037
1395	69303	29984
1396	69413	29961
1397	69496	29926
1398	69549	29878
1399	69587	29823
1400	69625	29768
1401	69671	29717
1402	69712	29663
1403	69749	29608
1404	69796	29557
1405	69836	29504
1406	69894	29458
1407	69965	29417
1408	70031	29374
1409	70090	29328
1410	70134	29276
1411	70181	29225
1412	70222	29172
1413	70265	29120
1414	70303	29065
1415	70348	29013
1416	70391	28961
1417	70432	28908
1418	70547	28885
1419	70617	28843
1420	70662	28792
1421	70706	28739
1422	70746	28686
1423	70791	28634
1424	70834	28582
1425	70883	28532
1426	70935	28483
1427	70981	28432
1428	71028	28381
1429	71101	28341
1430	71185	28305
1431	71292	28277
1432	71346	28229
1433	71386	28176
1434	71427	28123
1435	71463	28067
1436	71508	28016
1437	71542	27960
1438	71658	27936
1439	71704	27884
1440	71741	27830
1441	71785	27778
1442	71831	27726
1443	71878	27676
1444	71922	27624
1445	71963	27570
1446	72007	27518
1447	72052	27467
1448	72093	27414
1449	72161	27371
1450	72229	27328
1451	72304	27288
1452	72345	27235
1453	72385	27181
1454	72431	27130
1455	72478	27079
1456	72524	27028
1457	72567	26976
1458	72610	26924
1459	72678	26880
1460	72788	26853
1461	72841	26804
1462	72882	26751
1463	72923	26698
1464	72971	26648
1465	73018	26597
1466	73064	26546
1467	73113	26496
1468	73154	26443
1469	73198	26391
1470	73265	26347
1471	73349	26310
1472	73407	26263
1473	73448	26210
1474	73485	26155
1475	73526	26102
1476	73562	26048
1477	73603	25995
1478	73642	25941
1479	73681	25888
1480	73722	25835
1481	73778	25787
1482	73897	25762
1483	73952	25713
1484	73999	25663
1485	74042	25610
1486	74087	25559
1487	74132	25507
1488	74178	25456
1489	74223	25405
1490	74269	25354
1491	74311	25301
1492	74387	25260
1493	74459	25218
1494	74509	25168
1495	74550	25115
1496	74594	25064
1497	74640	25013
1498	74680	24960
1499	74718	24906
1500	74760	24853
1501	74800	24800
1502	74844	24749
1503	75506	24901
1504	75591	24862
1505	75635	24810
1506	75674	24756
1507	75712	24701
1508	75758	24650
1509	75801	24597
1510	75844	24545
1511	75882	24491
1512	75930	24440
1513	75973	24387
1514	76033	24340
1515	76103	24296
1516	76168	24251
1517	76215	24200
1518	76258	24147
1519	76303	24095
1520	76344	24042
1521	76390	23991
1522	76428	23937
1523	76480	23887
1524	76524	23835
1525	76632	23803
1526	76702	23759
1527	76749	23707
1528	76787	23653
1529	76833	23602
